file,real_time,user_time,sys_time,status,error
"./ZkLean/AST.lean",1.65,0.57,0.48,OK,""
"./ZkLean/Builder.lean",1.05,0.68,0.35,OK,""
"./ZkLean/bvify.lean",2.20,1.69,0.58,OK,""
"./ZkLean/Formalism.lean",0.88,0.52,0.35,OK,""
"./ZkLean/FreeMonad.lean",0.78,0.55,0.26,OK,""
"./ZkLean/LookupTable.lean",0.83,0.48,0.31,OK,""
"./ZkLean/LookUpTables.lean",Command,exited,with,OK,"2.75 0.16 0.91 "
"./ZkLean/LookUpTables/and.lean",4.51,3.50,0.89,OK,""
"./ZkLean/LookUpTables/div_by_zero.lean",59.19,57.50,1.23,OK,""
"./ZkLean/LookUpTables/eq_abs.lean",13.50,5.75,2.56,OK,""
"./ZkLean/LookUpTables/eq.lean",7.59,6.63,0.84,OK,""
"./ZkLean/LookUpTables/identity.lean",4.42,3.51,0.80,OK,""
"./ZkLean/LookUpTables/left_is_zero.lean",4.30,3.40,0.78,OK,""
"./ZkLean/LookUpTables/left_msb.lean",3.04,2.10,0.78,OK,""
"./ZkLean/LookUpTables/lsb.lean",3.11,2.16,0.78,OK,""
"./ZkLean/LookUpTables/lt_abs.lean",9.95,9.06,0.80,OK,""
"./ZkLean/LookUpTables/ltu.lean",11.89,10.94,0.88,OK,""
"./ZkLean/LookUpTables/or.lean",13.64,4.95,2.89,OK,""
"./ZkLean/LookUpTables/right_is_zero.lean",4.61,3.63,0.84,OK,""
"./ZkLean/LookUpTables/right_msb.lean",3.24,2.21,0.84,OK,""
"./ZkLean/LookUpTables/sign_extend.lean",3.19,2.23,0.82,OK,""
"./ZkLean/LookUpTables/sll0.lean",86.62,85.53,1.57,OK,""
"./ZkLean/LookUpTables/sll1.lean",61.02,54.85,2.84,OK,""
"./ZkLean/LookUpTables/sll2.lean",46.13,37.93,2.96,OK,""
"./ZkLean/LookUpTables/sll3.lean",18.45,17.51,0.99,OK,""
"./ZkLean/LookUpTables/sra_sign.lean",48.26,40.77,2.79,OK,""
"./ZkLean/LookUpTables/srl0.lean",20.67,19.69,1.05,OK,""
"./ZkLean/LookUpTables/srl1.lean",51.93,42.69,3.30,OK,""
"./ZkLean/LookUpTables/srl2.lean",60.83,59.64,1.55,OK,""
"./ZkLean/LookUpTables/srl3.lean",95.86,87.17,3.60,OK,""
"./ZkLean/LookUpTables/xor.lean",11.95,5.28,2.28,OK,""
"./ZkLean/range_analysis.lean",9.88,9.54,0.84,OK,""
"./ZkLean/Semantics.lean",1.02,0.72,0.30,OK,""
"./ZkLean/solve_mle.lean",4.16,4.62,0.84,OK,""
"./ZkLean/SubtableMles.lean",Command,exited,with,OK,"0.14 0.03 0.06 "
"./ZkLean/TwistShout/and.lean",26.46,25.38,1.04,OK,""
