file,real_time,user_time,sys_time,status,error
"./ZkLean/AST.lean",1.38,0.51,0.37,OK,""
"./ZkLean/Builder.lean",0.92,0.63,0.28,OK,""
"./ZkLean/bvify.lean",1.91,1.52,0.51,OK,""
"./ZkLean/Formalism.lean",0.79,0.47,0.29,OK,""
"./ZkLean/FreeMonad.lean",0.71,0.50,0.24,OK,""
"./ZkLean/LookupTable.lean",0.78,0.46,0.28,OK,""
"./ZkLean/LookUpTables.lean",3.33,1.24,1.08,OK,""
"./ZkLean/LookUpTables/and.lean",3.86,3.02,0.73,OK,""
"./ZkLean/LookUpTables/div_by_zero.lean",4.36,3.46,0.75,OK,""
"./ZkLean/LookUpTables/eq_abs.lean",5.99,5.10,0.77,OK,""
"./ZkLean/LookUpTables/eq.lean",6.36,5.47,0.82,OK,""
"./ZkLean/LookUpTables/identity.lean",4.28,3.40,0.79,OK,""
"./ZkLean/LookUpTables/left_is_zero.lean",3.83,2.94,0.78,OK,""
"./ZkLean/LookUpTables/left_msb.lean",2.93,2.02,0.75,OK,""
"./ZkLean/LookUpTables/lsb.lean",3.01,2.11,0.76,OK,""
"./ZkLean/LookUpTables/lt_abs.lean",14.38,9.43,1.77,OK,""
"./ZkLean/LookUpTables/ltu.lean",14.90,11.01,1.67,OK,""
"./ZkLean/LookUpTables/or.lean",5.32,4.43,0.81,OK,""
"./ZkLean/LookUpTables/right_is_zero.lean",3.88,3.00,0.77,OK,""
"./ZkLean/LookUpTables/right_msb.lean",2.94,2.04,0.75,OK,""
"./ZkLean/LookUpTables/sign_extend.lean",2.99,2.10,0.74,OK,""
"./ZkLean/LookUpTables/sll0.lean",82.82,82.09,1.34,OK,""
"./ZkLean/LookUpTables/sll1.lean",66.88,58.92,3.18,OK,""
"./ZkLean/LookUpTables/sll2.lean",50.54,43.49,2.86,OK,""
"./ZkLean/LookUpTables/sll3.lean",21.52,20.56,1.04,OK,""
"./ZkLean/LookUpTables/sra_sign.lean",54.91,47.25,2.89,OK,""
"./ZkLean/LookUpTables/srl0.lean",21.21,20.24,1.05,OK,""
"./ZkLean/LookUpTables/srl1.lean",52.71,45.64,2.94,OK,""
"./ZkLean/LookUpTables/srl2.lean",57.61,56.48,1.56,OK,""
"./ZkLean/LookUpTables/srl3.lean",94.85,87.14,3.19,OK,""
"./ZkLean/LookUpTables/xor.lean",11.28,6.07,1.89,OK,""
"./ZkLean/range_analysis.lean",4.54,4.14,0.82,OK,""
"./ZkLean/Semantics.lean",1.07,0.76,0.31,OK,""
"./ZkLean/solve_mle.lean",3.59,4.06,0.83,OK,""
"./ZkLean/SubtableMles.lean",Command,exited,with,OK,"0.15 0.03 0.06 "
"./ZkLean/TwistShout/and.lean",26.10,25.00,1.03,OK,""
"./ZkLean/TwistShout/assert_eq.lean",49.43,48.03,1.52,OK,""
"./ZkLean/TwistShout/assert_lte.lean",516.18,502.26,8.99,OK,""
"./ZkLean/TwistShout/half_word.lean",16.80,10.19,2.12,OK,""
"./ZkLean/TwistShout/move_sign.lean",11.66,10.58,0.93,OK,""
"./ZkLean/TwistShout/not_equal.lean",Command,exited,with,OK,"14.31 13.62 0.91 "
"./ZkLean/TwistShout/or.lean",34.71,33.80,1.10,OK,""
"./ZkLean/TwistShout/pow2.lean",19.22,11.47,2.52,OK,""
"./ZkLean/TwistShout/rotr.lean",Command,exited,with,OK,"19.10 19.18 0.87 "
"./ZkLean/TwistShout/shift_right_bit_mask.lean",40.63,39.73,1.03,OK,""
"./ZkLean/TwistShout/slt.lean",Command,exited,with,OK,"58.72 52.07 3.20 "
"./ZkLean/TwistShout/sra.lean",Command,exited,with,OK,"21.20 15.50 2.16 "
"./ZkLean/TwistShout/srl.lean",Command,exited,with,OK,"13.53 12.67 0.91 "
"./ZkLean/TwistShout/sub.lean",Command,exited,with,OK,"3.34 2.57 0.68 "
"./ZkLean/TwistShout/unsigned_greater_than.lean",Command,exited,with,OK,"52.24 51.88 1.56 "
"./ZkLean/TwistShout/unsigned_less_than.lean",386.40,377.95,6.03,OK,""
"./ZkLean/TwistShout/valid_div0.lean",Command,exited,with,OK,"20.76 14.59 2.35 "
"./ZkLean/TwistShout/xor.lean",35.64,34.93,1.04,OK,""
"./ZkLean/valify_helper.lean",9.75,3.16,2.24,OK,""
"./ZkLean/valify.lean",2.79,2.59,0.70,OK,""
